0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,7,6,6,0,0,0,0,0,2,4,5,0,0
0,0,6,19,16,20,3,0,0,0,0,11,13,12,2,0
0,0,7,23,18,25,12,0,0,0,6,16,14,14,3,0
0,2,9,17,23,28,20,6,0,0,13,18,16,14,6,4
0,7,13,22,30,39,35,12,3,2,17,24,25,23,9,5
8,14,28,36,47,48,41,23,4,9,34,35,31,28,11,6
8,16,21,40,53,58,53,42,15,24,40,38,42,28,11,6
11,27,28,43,63,68,63,52,18,38,51,57,55,47,18,9
19,37,46,64,85,99,102,76,42,66,90,109,88,70,45,16
29,89,106,111,140,200,200,108,64,100,188,187,120,81,77,44
47,90,85,92,111,191,176,103,54,97,143,151,87,62,52,40
46,72,58,69,77,120,103,84,37,95,95,84,67,48,27,21
16,26,40,53,51,78,81,75,48,88,85,71,63,47,24,9
7,20,33,45,50,52,58,55,28,60,50,45,41,32,9,3
3,4,6,11,20,13,14,9,3,7,14,18,17,19,3,0
